,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.88,0.59,0.62,0.52,0.51,0.53,0.54,0.52,0.49,0.48,0.49,0.48,0.48,0.49,0.5,0.46,0.44,0.41,0.44,0.42,0.42,0.4,0.35,0.34,0.32,0.3,0.3,0.29,0.27,0.23
1,0.9,0.97,0.79,0.77,0.8,0.77,0.75,0.73,0.71,0.67,0.68,0.68,0.67,0.68,0.68,0.67,0.66,0.66,0.65,0.63,0.63,0.63,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6
2,0.46,0.51,0.59,0.48,0.53,0.48,0.53,0.49,0.5,0.52,0.48,0.48,0.49,0.49,0.52,0.48,0.5,0.48,0.43,0.36,0.42,0.45,0.39,0.34,0.33,0.34,0.34,0.36,0.31,0.3
